"연번","어린이집명","어린이집유형","주소","정원","현원"
"1","자연숲어린이집","민간","경기도 남양주시 진접읍 주곡로 164-66 자연앤어울림 단지내 보육시설","45","41"
"2","허브리츠어린이집","민간","서울특별시 동대문구 정릉천동로 36 래미안허브리츠아파트 관리동1층 (용두동)","43","43"
"3","예람뜰어린이집","가정","경기도 의정부시 호국로 1369 103동 101호(금오동, 신도브래뉴아파트)","20","20"
"4","물댄동산어린이집","가정","경기도 부천시 오정구 오정로 245 창보아파트102동 110호(오정동)","19","19"
"5","엘림어린이집","가정","경상남도 창원시 마산회원구 구암남16길 54 102동 102호(구암동, 구암대동타운1차아파트)","18","15"
"6","요요아이어린이집","가정","서울특별시 송파구 오금로27길 39 (방이동)","18","14"
"7","호키포키어린이집","가정","대전광역시 유성구 월드컵대로290번길 39 102동 101호(상대동, 목련아파트)","13","11"
"8","새싹어린이집","민간","경상북도 영천시 바깥완산길 43 (완산동)","163","148"
"9","구암어린이집","사회복지법인","대구광역시 북구 구암로42길 13-20","120","107"
"10","키즈킹덤어린이집","민간","강원도 원주시 치악로1534번길 22-1","34","34"
"11","깨비어린이집","가정","강원도 원주시 구곡길 10-29","20","20"
"12","라이프어린이집","가정","강원도 원주시 백간길 72 103동 101호(단계동, 라이프타운)","20","14"
"13","푸르지오어린이집","가정","인천광역시 서구 청마로 170 303-102","19","18"
"14","생각하는어린이집","가정","경기도 고양시 일산서구 강선로 167 1503동 106호(일산동, 후곡마을건영15단지아파트)","16","13"
"15","폴라리스가정어린이집","가정","경기도 고양시 일산서구 일산로 612 601동 101호(일산동, 후곡마을동부6단지아파트)","20","18"
"16","사랑어린이집","가정","강원도 동해시 평릉길 14 102동 101호(천곡동, 동해금호어울림아파트)","20","20"
"17","구립 파란들어린이집","국공립","서울특별시 양천구 가로공원로 85 (신월동)","79","74"
"18","보경어린이집","가정","부산광역시 북구 시랑로182번길 19 벽산그린타운3차 102호 (구포동)","20","20"
"19","경희예능어린이집","민간","울산광역시 남구 팔등로109번길 12-3","59","59"
"20","브레인 어린이집","가정","부산광역시 북구 용수로 100 209동 104호(화명동, 코오롱하늘채2차아파트)","20","20"
"21","대림비츠어린이집","민간","부산광역시 해운대구 대천로103번길 9 관리동 1층","39","39"
"22","이편한어린이집","가정","경상남도 양산시 양주로 33 109동 104호(남부동, E-편한세상1차아파트)","18","18"
"23","해피트리어린이집","가정","경상남도 통영시 장좌로 145 101-103(동호동,동원비치2차아파트)","19","19"
"24","칙칙폭폭 어린이집","가정","충청남도 아산시 고불로 669 202동 106호(좌부동, 초원아파트)","13","13"
"25","신광어린이집","사회복지법인","제주특별자치도 제주시 신산마을동길 18 (도평동)","129","127"
"26","무궁화어린이집","사회복지법인","제주특별자치도 제주시 사송길 42 (영평동)","150","66"
"27","동성어린이집","민간","서울특별시 강서구 화곡로18길 39 (화곡동)","55","55"
"28","삼성베베어린이집","가정","광주광역시 북구 서하로 120 삼성아파트 3동 104호","20","19"
"29","하늘숲어린이집","민간","광주광역시 광산구 목련로382번길 79 (신가동)","45","44"
"30","율곡어린이집","민간","광주광역시 북구 삼정로 50 두암주공 3단지 (두암동)","65","65"
"31","동성어린이집","가정","경기도 동두천시 동두천로 139 901동 103호(지행동, 부영9단지)","18","17"
"32","풍림어린이집","가정","경기도 고양시 덕양구 지도로103번길 61 201동 103호(토당동, 풍림아이원아파트)","20","20"
"33","성원어린이집","가정","경상북도 구미시 옥계2공단로 264-11 108동 101호(구포동, 성원)","20","18"
"34","파랑새어린이집","민간","경상북도 구미시 원남로1길 38-1","30","24"
"35","팬더어린이집","민간","인천광역시 부평구 마분로4번길 10 (3층 건물전체) (부개동)","82","78"
"36","YMCA흰돌복지관어린이집","국공립","경기도 고양시 일산동구 장백로 61 YMCA 흰돌복지관 어린이집","66","47"
"37","크로바어린이집","민간","부산광역시 부산진구 백양대로136번길 37  -9  (당감동)","241","200"
"38","이솝어린이집","민간","경상북도 영천시 조흔달길 8 (조교동)","99","73"
"39","책사랑어린이집","가정","경기도 용인시 수지구 성복2로 184 208동 103호(성복동, 수지자이2차아파트)","20","20"
"40","아이사랑 어린이집","민간","경상북도 영천시 화남면 한천길 10-37","37","20"
"41","하늘어린이집","민간","경상북도 영천시 새말1길 19 하늘어린이집","36","29"
"42","사과나무어린이집","민간","경상남도 거제시 수양2길 55 사과나무어린이집","115","114"
"43","푸르미어린이집","가정","경기도 평택시 현신3길 75 101동 104호(비전동, 용이동대우푸르지오아파트)","20","20"
"44","예쁜꿈어린이집","가정","인천광역시 연수구 새말로 154 305동 110호(연수동, 연수주공3차아파트)","13","10"
"45","리더아이어린이집","가정","충청북도 청주시 서원구 두꺼비로 91 103동 101호(산남동, 영조퀸덤)","20","20"
"46","별초롱어린이집","가정","서울특별시 동작구 만양로1길 14 102호(상도2동 상명하이츠빌)","18","15"
"47","현대홈타운어린이집","가정","경기도 하남시 신장로76번길 50 101동 104호(신장동, 하남신장현대홈타운)","20","20"
"48","주연키즈어린이집","민간","서울특별시 강서구 까치산로18길 35 주연키즈어린이집 (화곡동)","36","33"
"49","구름송이어린이집","가정","경기도 수원시 영통구 영통로173번길 37 101동 104호(망포동, 망포마을쌍용아파트)","19","19"
"50","숲 어린이집","민간","충청남도 아산시 장재로 27 (장재리, 장재마을휴먼시아 내)","39","39"
"51","아이러브키즈어린이집","가정","경기도 광주시 새말길 81-16 1동 103호(진하우스)","16","16"
"52","초록별어린이집","가정","경상남도 창원시 마산회원구 합성북8길 39","12","12"
"53","주공한솔어린이집","가정","인천광역시 남동구 호구포로 294 102동 101호(논현동, 주공아파트)","13","10"
"54","세모네모어린이집","가정","경기도 수원시 팔달구 일월로18번길 4-26 171동 105호(화서동, 꽃뫼버들마을코오롱아파트)","18","16"
"55","미래연어린이집","민간","경기도 남양주시 오남읍 진건오남로 571-1 호정빌딩 1층","39","33"
"56","별내튼튼어린이집","가정","경기도 남양주시 별내면 청학로68번길 6 청학주공아파트 502-102","20","19"
"57","그랑블어린이집","가정","인천광역시 서구 에메랄드로 65 서해그랑블아파트 단지내 관리동 (연희동)","20","20"
"58","빛나라어린이집","가정","서울특별시 용산구 이촌로87길 21 이촌아파트 에이단지 106동 104호","19","19"
"59","곤지암베이비어린이집","가정","경기도 광주시 곤지암읍 곤지암로 108 203동 102호(곤지암리, 곤지암쌍용2차아파트)","19","19"
"60","리베폴어린이집","가정","인천광역시 연수구 해송로 143 119동 102호 (송도동, 송도웰카운티1단지아파트)","20","20"
"61","칭찬가득어린이집","가정","경기도 고양시 덕양구 세솔로 25 2211동 101호(동산동, 동산마을호반베르디움22단지)","20","20"
"62","사과나무어린이집","가정","인천광역시 동구 송현로 39 203-102(송현동, 솔빛마을주공2차아파트)","17","17"
"63","찬솔나라 어린이집","가정","제주특별자치도 제주시 신성로 15 (도남동)","20","18"
"64","우리어린이집","민간","충청남도 부여군 규암면 자온로 40-6","60","50"
"65","꿈에그린어린이집","민간","인천광역시 계양구 동양로 10 한화꿈에그린아파트 관리동 1층","32","32"
"66","숲속어린이집","민간","서울특별시 동작구 등용로10길 24 (대방동)","62","46"
"67","예사랑어린이집","가정","경기 시흥시 하중1동 성원a)111-102","15","6"
"68","가람 어린이집","가정","경기도 시흥시 진말로 46 108동 103호(장곡동, 진말삼환한진1차아파트)","19","19"
"69","뉴고려병원부설파란잎어린이집","직장","경기도 김포시 김포한강3로 290-16 이니스더원아파트 805동 102호","20","20"
"70","햇님나라어린이집","가정","경기도 시흥시 시청로 71 501동 101호(장현동, 새재마을청구5단지아파트)","20","20"
"71","늘푸른어린이집","민간","경기도 화성시 배양북길32번길 18-11","39","16"
"72","장기어린이집","국공립","충청남도 공주시 송선농공단지길 23-7","84","80"
"73","꼬마세상 어린이집","가정","경기도 용인시 기흥구 덕영대로2077번길 51 202동 102호(영덕동, 태영데시앙아파트)","20","16"
"74","꿈마을어린이집","가정","서울특별시 중랑구 용마산로 348 ,105동102호(면목동, 용마금호타운아파트)","19","19"
"75","해맑은어린이집","민간","서울특별시 중랑구 용마공원로4길 11 (망우동)","47","33"
"76","신혜원어린이집","민간","서울특별시 중랑구 상봉로12가길 1 (망우동)","52","49"
"77","아너스빌어린이집","가정","전라남도 무안군 삼향읍 남악5로22번길 60 108동 102호(남악리, 남악신도시경남아너스빌)","20","20"
"78","베베피아어린이집","가정","경상남도 진주시 금산면 금산로 123 115동 103호(금산흥한골든빌)","17","17"
"79","수목토어린이집","가정","대전광역시 서구 도안동로 177 114동 102호 (도안동, 수목토아파트)","20","16"
"80","아이별어린이집","가정","대전광역시 서구 둔산남로 15 110동 104호 (둔산동, 은하수아파트)","13","13"
"81","두산키즈 어린이집","민간","경기도 파주시 해솔로 85 두산위브 아파트 단지 내 두산키즈 어린이집","41","41"
"82","으뜸명성어린이집","민간","경기도 남양주시 퇴계원면 퇴계원로46번길 11","98","92"
"83","소금과빛어린이집","가정","경기도 화성시 병점1로 65 106동 103호(병점동, 늘벗마을신창1차아파트)","20","19"
"84","새싹어린이집","가정","경기도 용인시 수지구 정든로 22 902동 104호(죽전동, 도담마을죽전파크빌9단지아파트)","20","20"
"85","초록색연필어린이집","가정","대구광역시 수성구 달구벌대로645길 15 301동 101호(매호동, 매호동서3차아파트)","20","19"
"86","새신나라어린이집","가정","서울특별시 도봉구 도당로 116 101동 108호(방학동, 거성학마을아파트)","20","12"
"87","동화속어린이집","민간","충청북도 진천군 이월면 송림5길 13","35","20"
"88","룸비니덕유어린이집","국공립","경기도 부천시 원미구 도약로 146 룸비니덕유어린이집","32","26"
"89","딩동댕어린이집","민간","경기도 성남시 중원구 광명로166번길 6 (중앙동)","35","29"
"90","향기어린이집","민간","경기도 시흥시 함송로 61 1877동 5호(정왕동, 보성아파트)","35","34"
"91","다예린어린이집","민간","인천광역시 연수구 넘말로79번길 55-1 (선학동)","160","147"
"92","정든어린이집","민간","제주특별자치도 제주시 정존11길 54 정든마을 아파트 1단지내 (노형동)","26","23"
"93","우주어린이집","민간","경기도 오산시 대원로 70 주공5단지 관리동 (원동)","39","39"
"94","푸른솔어린이집","민간","경기도 시흥시 군서로46번길 14-1","173","168"
"95","새싹뜰어린이집","민간","경기도 오산시 현충로 56 지혜샘어린이집 (은계동)","49","49"
"96","큰빛어린이집","가정","인천광역시 남구 경인로 203 3동 102호(도화동, 동아아파트)","20","17"
"97","아이나라어린이집","가정","경상북도 경산시 진량읍 초원길 53-4 105동 101호(양기리, 초원장미타운)","13","10"
"98","참조은어린이집","가정","대구광역시 동구 동북로 500 118동 111호(효목동, 태왕메트로시티)","19","17"
"99","실로암어린이집","가정","인천광역시 계양구 새풀로 27 201동 101호(효성동, 유승와이드빌아파트)","16","16"
"100","공단선교어린이집","민간","경기도 시흥시 군서로 37 (정왕동)","91","83"
"101","물방울어린이집","가정","전라북도 전주시 완산구 용리로 179 106동 104호(삼천동1가, 세창짜임)","20","14"
"102","아이별어린이집","민간","전라북도 정읍시 금붕1길 51 (상동)","64","64"
"103","하늘사랑어린이집","민간","전라북도 완주군 용진면 완주로 806-18","90","82"
"104","그린어린이집","민간","전라북도 전주시 덕진구 용신길 19-3","99","98"
"105","예꿈어린이집","민간","대구광역시 북구 칠곡중앙대로 590-4","39","33"
"106","양산부산대학교병원어린이집","직장","경상남도 양산시 금오로 20 양산부산대학교병원 편의시설동 1층","65","50"
"107","꿈땅어린이집","가정","경기도 안성시 공도읍 공도로 150 KCC 스위첸 아파트 102동 102호","19","19"
"108","미소사랑어린이집","가정","울산광역시 남구 대암로 20 210동 106호(신정동, 신성미소지움2단지)","19","18"
"109","솔로몬어린이집","민간","울산광역시 남구 신남로 42 (신정동)","141","133"
"110","예은어린이집","민간","울산광역시 동구 산록길 95 (전하동)","26","25"
"111","맘어린이집","가정","대구광역시 달서구 도원로 46 604동 104호(도원동, 별메마을)","13","9"
"112","꿈동이어린이집","민간","경상남도 거제시 사등면 거제남서로 5302-1","79","47"
"113","엄마품 어린이집","가정","경기도 고양시 일산서구 강선로 70 810동 103호(주엽동, 강선마을럭키8단지아파트)","19","18"
"114","바오밥어린이집","민간","경기도 고양시 일산서구 장자길 107-18","33","6"
"115","유경브래뉴어린이집","민간","경기도 양주시 고읍남로39번길 48 신도브레뉴아파트 관리동 (광사동)","49","47"
"116","이튼어린이집","가정","울산광역시 남구 옥현로 92-12 203동 103호(무거동, 울산옥현주공2차아파트)","16","15"
"117","바다어린이집","가정","서울특별시 중랑구 중랑천로 286 102동 101호(묵동, 현대아이파크)","20","17"
"118","빨간당근어린이집","가정","경기도 용인시 기흥구 평촌1로8번길 7-24","20","18"
"119","은행나무어린이집","가정","경기도 안성시 공도읍 공도로 150 KCC스위첸 아파트 107동 102호","19","16"
"120","꼬마궁전어린이집","가정","경기도 안성시 공도읍 공도로 150 KCC 스위첸 아파트 106동 101호","19","19"
"121","신안아이어린이집","민간","경기도 파주시 시청로 123-1 신안실크밸리 1차아파트 관리동 (아동동)","44","25"
"122","아르시스어린이집","가정","경상남도 통영시 광도면 죽림3로 36 101동 101호(죽림리, 신원아르시스)","19","19"
"123","세향어린이집","가정","전라북도 전주시 완산구 소대배기로 33 102동 103호(평화동2가, 현대)","19","15"
"124","쌍치어린이집","국공립","전라북도 순창군 쌍치면 쌍계로 66-8","39","28"
"125","휴먼시아맑은샘어린이집","국공립","전라북도 전주시 완산구 용호로 20 307동 1층(효자동2가, 휴먼시아3단지아파트)","34","32"
"126","동파어린이집","가정","전라북도 전주시 덕진구 인후동1가 안골4길 15 안골현대아파트 202동 102호(인후동1가)","19","17"
"127","미스바어린이집","가정","전라북도 전주시 덕진구 쪽구름5길 5 102동 107호(고랑동, 명성아파트)","13","13"
"128","사랑가득어린이집","가정","전라북도 전주시 완산구 서곡로 22 102동 102호(효자동3가, 서곡두산)","19","19"
"129","키즈쉐마어린이집","민간","전라북도 전주시 덕진구 인교로 3-14","49","48"
"130","푸른하늘어린이집","가정","경기도 성남시 수정구 산성대로527번길 5  -8 1층","11","7"
"131","크로바 어린이집","민간","제주특별자치도 제주시 오라로1길 4 (오라삼동)","33","33"
"132","하늘빛어린이집","가정","경기도 부천시 원미구 상일로 72 1837동 103호(상동, 반달마을극동신라아파트)","16","16"
"133","초록별성저 어린이집","가정","경기도 고양시 일산서구 성저로42번길 4 1층","20","13"
"134","아이비어린이집","민간","충청남도 당진시 서해로 6216 관리동 (우민아파트)","49","46"
"135","해피키즈코코어린이집","가정","경기도 김포시 풍무로 33 204동 103호(풍무동, 당곡마을현대2단지아파트)","20","15"
"136","꿈꾸는아이어린이집","가정","경상북도 김천시 신음새동네길 111 202동 104호(신음동, 김천신음그린빌)","12","12"
"137","아기곰이야기어린이집","가정","대구광역시 달서구 이곡공원로 33 203동 109호(이곡동, 성서동서화성타운)","19","17"
"138","지웰홈즈어린이집","가정","충청북도 청주시 흥덕구 진재로103번길 37 103동 103호(복대동, 신영지웰아파트)","20","17"
"139","초록나무어린이집","가정","전라남도 무안군 삼향읍 남악5로72번길 7 111동 104호(남악리, 부영애시앙)","20","20"
"140","시립사동2단지어린이집","국공립","경상북도 경산시 솔숲길 100 평산동사동휴먼시아2단지","26","26"
"141","미르어린이집","가정","인천광역시 서구 가정로 387 (신현동, 신현e-편한세상하늘채) 124-102","20","20"
"142","햇살가득어린이집","가정","대전광역시 유성구 와룡로136번길 15 101동 101호(봉산동, 하늘바람휴먼시아)","19","19"
"143","고운햇살어린이집","가정","인천광역시 부평구 수변로 333 202동 102호(삼산동, 삼산타운2단지)","20","20"
"144","서창어린이집","가정","인천광역시 부평구 수변로9번길 48-1 (부개동)","20","19"
"145","아림어린이집","가정","인천광역시 부평구 부평북로 431 104동 102호(삼산동, 주공미래타운1단지)","20","20"
"146","오르다어린이집","가정","인천광역시 부평구 세월천로 16 106동 103호(청천동, 대우아파트)","20","19"
"147","경남몬테소리어린이집","가정","인천광역시 부평구 안남로206번길 18 404동 101호(산곡동, 경남4차아파트)","19","18"
"148","한국어린이집","법인·단체등","경상북도 칠곡군 북삼읍 금오대로 63-1","91","52"
"149","꿈나무어린이집","가정","인천광역시 부평구 갈월서로 46 6동 101호(갈산동, 태화아파트)","20","20"
"150","우리랑어린이집","가정","인천광역시 부평구 주부토로 193 104동 101호(갈산동, 대동1차아파트)","20","20"
"151","신나는현대어린이집","가정","인천광역시 부평구 경원대로 1269 103동 101호(산곡동, 현대아파트)","20","19"
"152","붕붕어린이집","가정","충청남도 공주시 신금2길 48 408동 104호(신관동, 주공4단지아파트)","13","12"
"153","공항꿈나무어린이집","직장","인천광역시 중구 공항로424번길 47","300","274"
"154","별누리어린이집","가정","부산광역시 남구 우암로2번길 5 104동 105호(감만동, 감만현대1차아파트)","13","13"
"155","큰별아이어린이집","민간","인천광역시 부평구 안남로253번길 44 (4층 건물전체) (산곡동)","93","88"
"156","성심샛별나라어린이집","민간","서울특별시 관악구 신원로 13 (신림동)  [신원동]","54","53"
"157","세아어린이집","민간","부산광역시 사하구 옥천로 10-1","64","57"
"158","예쁜어린이집","민간","충청남도 당진시 면천로 1570-18","110","68"
"159","꿈터어린이집","민간","서울특별시 강북구 오현로 175 (번동)","49","41"
"160","엄마사랑 어린이집","가정","서울특별시 송파구 충민로2길 31 1302동 103호(장지동, 송파파인타운13단지)","20","20"
"161","법무부햇살어린이집","직장","충청북도 청주시 서원구 청남로1887번길 78 (산남동)","60","53"
"162","구립 벽산어린이집","국공립","서울특별시 성동구 금호동1가 행당로6길 2 (금호동1가, 금호벽산제2관리소 2층)","77","70"
"163","은빛어린이집","가정","서울특별시 영등포구 도신로 68 106동 107호(신길동, 신길우성1차아파트)","15","15"
"164","아이좋아어린이집","가정","충청북도 청주시 흥덕구 덕암로108번길 44 115동 102호(봉명동, 현대아이파크)","20","20"
"165","자연어린이집","민간","충청북도 청주시 서원구 모충로104번길 57 모충동","100","48"
"166","성신어린이집","민간","서울특별시 강동구 고덕로 79 (암사동 446-24)","39","39"
"167","아이러브어린이집","민간","경기도 평택시 현화1길 36 아이러브어린이집","39","32"
"168","하늘사랑어린이집","가정","경기도 평택시 부용로 81-1","17","17"
"169","라이라이어린이집","민간","서울특별시 강동구 양재대로141길 43 (명일동 322-26)","69","68"
"170","명성어린이집","사회복지법인","전라남도 함평군 월야면 전하길 40","130","76"
"171","예꿈어린이집","민간","서울특별시 강동구 상암로 89 (암사동 490-39)","27","24"
"172","강동제일 어린이집","법인·단체등","서울특별시 강동구 고덕로20가길 43 (암사동 452-13)","89","74"
"173","사랑나무어린이집","가정","경기도 수원시 팔달구 덕영대로697번길 12 410동 104호(화서동, 화서주공4차아파트)","11","11"
"174","새뜰영재어린이집","가정","경상북도 구미시 도봉로 67 511동 101호(도량동, 구미도량뜨란채5단지)","19","19"
"175","왕자와공주어린이집","가정","강원도 원주시 문막읍 원문로 1578 102동 106호(동화리, 문막동보렉스6차아파트)","19","15"
"176","예나어린이집","민간","경기도 포천시 정문동길 24-16","49","22"
"177","무지개어린이집","가정","부산광역시 해운대구 선수촌로 122 104동 101호(반여동, 아시아선수촌아파트)","19","19"
"178","한국어린이집","민간","부산광역시 부산진구 동평로94번길 39 (당감동)","84","84"
"179","좋은씨앗어린이집","민간","인천광역시 계양구 임학안로6번길 7 (임학동)","35","18"
"180","이문현대어린이집","민간","서울특별시 동대문구 한천로58길 107 이문현대아파트 단지동 (이문동)","72","71"
"181","은하어린이집","민간","경상남도 양산시 삼호4길 17 (삼호동)","78","32"
"182","꿈터어린이집","민간","대구광역시 달성군 화원읍 명천로17길 30-7","85","85"
"183","선화어린이집","민간","서울특별시 강서구 강서로56나길 110 (등촌동)","103","100"
"184","꼬마숲어린이집","민간","서울특별시 강서구 강서로45다길 30-27 초록아파트 단지 내 관리사무소 1층 꼬마숲어린이집","41","41"
"185","그림터어린이집","민간","서울특별시 강서구 초록마을로2길 22 (화곡동)","99","83"
"186","마리나꿈어린이집","민간","경상남도 양산시 상북면 감결길 15 107동(소토리, 대우마리나)","116","87"
"187","전원어린이집","민간","경상북도 경산시 경청로222길 71 (백천동)","159","152"
"188","도봉1동어린이집","국공립","서울특별시 도봉구 도봉로175길 10 (도봉1동어린이집) (도봉동)","110","100"
"189","포천시청어린이집","직장","경기도 포천시 중앙로 87 (신읍동)","60","49"
"190","예은어린이집","가정","대전광역시 유성구 구즉로 16 106동 107호(송강동, 한마을아파트)","16","12"
"191","참좋은어린이집","민간","광주광역시 북구 우치로 235-10","85","75"
"192","일곡현대어린이집","민간","광주광역시 북구 일곡로 100 현대1차아파트 관리동","31","29"
"193","영주어린이집","국공립","부산광역시 중구 망양로 396 국공립) 영주어린이집","99","99"
"194","예지어린이집","민간","광주광역시 북구 서강로67번길 20 (운암동)","99","98"
"195","예은어린이집","가정","부산광역시 부산진구 진남로 477 103동 103호 (전포동, 양정메트로하이츠)","19","19"
"196","누리비어린이집","민간","인천광역시 서구 원창로229번길 34-5","62","52"
"197","신나는E.Q어린이집","가정","광주광역시 북구 문산로 30 202동 107호(문흥동, 중흥아파트)","16","16"
"198","보물섬어린이집","가정","서울특별시 관악구 관악로 285 105동 103호(봉천동, 봉천동아1차아파트)  [성현동]","20","12"
"199","행복한사랑어린이집","가정","서울특별시 관악구 남부순환로231길 46-9 (봉천동)  [행운동]","14","14"
"200","뽀로로어린이집","민간","전라북도 익산시 무왕로20길 17 (어양동 부영1차아파트)관리동","26","26"
"201","현대키즈 어린이집","가정","전라북도 전주시 덕진구 석소로 55 114동 104호(인후동1가, 아중현대)","19","16"
"202","휴먼시아숲속어린이집","국공립","전라북도 전주시 완산구 호암로 2 1블럭관리동내(효자동2가, 휴먼시아)","37","34"
"203","엄마품어린이집","가정","전라북도 전주시 덕진구 견훤로 333 105동 101호(인후동1가, 두산위브)","20","20"
"204","꿈땅어린이집","가정","전라북도 전주시 완산구 신봉로 71 1동 103호(효자동1가, 한양운남)","13","12"
"205","조은생각어린이집","가정","전라북도 전주시 완산구 서신로 102 103동 107호(서신동, 광진선수촌)","20","18"
"206","함열어린이집","사회복지법인","전라북도 익산시 함열읍 와리3길 55","86","73"
"207","다빛 어린이집","민간","전라북도 익산시 동서로 377 (영등동)","129","128"
"208","꼬마천사어린이집","가정","전라북도 익산시 동천로 25 204동 102호(동산동, 동산여울휴먼시아)","13","13"
"209","젤로어린이집","가정","전라북도 전주시 완산구 장승배기로 378-4 (서서학동)","18","16"
"210","꿈동산어린이집","사회복지법인","전라북도 김제시 옥산길 105 (옥산동)","90","43"
"211","완주어린이집","사회복지법인","전라북도 완주군 봉동읍 신중길 14","79","55"
"212","아이사랑어린이집","민간","서울특별시 관악구 난곡로9길 6 (신림동)  [난향동]","49","49"
"213","대우어린이집","민간","서울특별시 관악구 청림5길 28  (봉천동)  [청림동]","23","22"
"214","해오름어린이집","민간","광주광역시 광산구 풍영로 63 운남주공9단지내 (월곡동)","44","44"
"215","명천어린이집","법인·단체등","충청남도 보령시 주공로 50 명천어린이집 (명천동)","48","38"
"216","알지오어린이집","민간","서울특별시 중랑구 봉화산로3길 229-6 (묵동)","53","35"
"217","예뜰어린이집","가정","부산광역시 금정구 중군진로 27 삼한여명106호","20","20"
"218","대우어린이집","가정","경기도 시흥시 진말로 36 116동 101호(장곡동, 진말대우1차아파트)","20","20"
"219","어울림어린이집","민간","서울특별시 중랑구 망우로73길 47","39","29"
"220","아이사랑어린이집","가정","대전광역시 동구 옥천로 38 108동 102호(신흥동, 신흥마을아파트)","19","19"
"221","숲속친구어린이집","가정","경기도 고양시 일산동구 숲속마을1로 85 502동 104호(풍동, 숲속마을현대아이파크5단지아파트)","20","16"
"222","다사랑24시어린이집","가정","경기도 수원시 권선구 덕영대로1217번길 24 108동 106호(권선동, 두산동아아파트)","20","20"
"223","피터팬랜드어린이집","민간","서울특별시 송파구 풍성로 52","31","31"
"224","산남아이원어린이집","민간","충청북도 청주시 서원구 청남로1945번길 77 산남 아이원 어린이집","178","141"
"225","꼬마푸른꿈어린이집","가정","경기도 의정부시 동일로 660 205동 104호(금오동, 금오2차신도브래뉴UP아파트)","19","11"
"226","꽃동네어린이집","민간","인천광역시 남구 문화로169번길 113 (주안동)","71","71"
"227","예쁘제어린이집","민간","경상남도 양산시 동면 석산1길 10 석산한신 휴 플러스 106동101호","25","25"
"228","혜명어린이집","가정","경기도 화성시 동탄공원로1길 6-59 362동 101호(반송동, 시범다은마을 풍성신미주아파트)","20","20"
"229","새봄어린이집","가정","경기도 파주시 책향기로 369 602동 104호(동패동 동패리, 숲속길마을동문굿모닝힐6단지아파트)","20","20"
"230","호원예뜰안어린이집","가정","경기도 의정부시 범골로 23 303동 103호(호원동, 뉴익호원가든)","18","18"
"231","꿈땅어린이집","가정","경상북도 칠곡군 왜관읍 평장3길 50 201동 105호(왜관리, 대동다숲1단지아파트)","16","15"
"232","신우애기똥풀어린이집","가정","경기도 남양주시 진접읍 금강로 1553-21 104동 102호(장현리, 신우)","20","19"
"233","아너스빌어린이집","민간","경기도 용인시 수지구 성복1로 157 경남아너스빌 관리동 1층 아너스빌어린이집","36","36"
"234","건영어린이집","가정","경기도 고양시 일산서구 현중로 61 502동 108호(탄현동, 탄현마을건영5단지아파트)","17","17"
"235","둔산큰별어린이집","민간","대전광역시 서구 도솔로 454 (탄방동)","207","199"
"236","쁘띠어린이집","가정","경상북도 포항시 남구 새천년대로 306 101동 101호(효자동 효자웰빙타운 SK뷰)","20","20"
"237","경기경찰 어린이집","직장","경기도 수원시 장안구 금당로 70 (조원동)","70","62"
"238","태경어린이집","가정","부산광역시 북구 시랑로138번가길 7 1동 103호(구포동, 태경)","20","16"
"239","옹달샘어린이집","가정","경기도 평택시 지산천로 66 8동 103호(독곡동, 라이프아파트)","20","14"
"240","아이꿈터 어린이집","가정","제주특별자치도 서귀포시 홍중로 67 102동 101호(서홍동, 형남아파트)","19","1"
"241","광천e편한세상어린이집","민간","광주광역시 서구 화운로 278 광천e편한세상 관리동","49","49"
"242","별모래어린이집","가정","경기도 파주시 청석로 300 904동 101호(다율동 다율리, 청석마을대원효성9단지아파트)","20","18"
"243","사회복지법인양정어린이집","사회복지법인","경기도 남양주시 일패로 54 (일패동)","72","69"
"244","도농어린이집","국공립","경기도 남양주시 미금로 79 (도농동)","51","48"
"245","도촌어린이집","국공립","경기도 남양주시 남가로1607번길 14 도촌어린이집","50","49"
"246","기쁨어린이집","민간","경기도 수원시 팔달구 동말로 96-6 (고등동)","98","97"
"247","맘앤맘어린이집","가정","경상북도 포항시 남구 오천읍 문덕로12번길 28 필앤유아파트 B동 101호","19","18"
"248","구립 새희망어린이집","국공립","인천광역시 중구 제물량로92번길 13-1","60","60"
"249","엄마품어린이집","민간","충청남도 공주시 공주대학로 9-8","39","33"
"250","해피아이어린이집","가정","경기도 오산시 발안로 1419-13 115동 106호(가수동, 가수주공아파트)","10","10"
"251","효자어린이집","국공립","강원도 춘천시 남춘로61번길 20 (효자동)","150","118"
"252","신나라어린이집","가정","서울특별시 구로구 경인로 382 102동 101호(개봉동, 한마을아파트)","20","20"
"253","서원어린이집","가정","경기도 용인시 기흥구 흥덕중앙로105번길 16 1007동 101호(영덕동, 흥덕마을동원로얄듀크)","20","18"
"254","하랑어린이집","가정","서울특별시 성동구 상원길 59 104동 104호(성수동1가, 쌍용아파트)","19","18"
"255","햇님어린이집","가정","울산광역시 남구 월평로 258 103동 102호(삼산동, 우성)","19","18"
"256","햇살가득어린이집","가정","서울특별시 강서구 우장산로6길 8 우장산태승훼밀리아파트 102 (내발산동)","19","19"
"257","호원 어린이집","가정","충청남도 아산시 음봉로681번길 24 101동 105호(덕지리, 초원그린타운)","8","8"
"258","토리어린이집","가정","서울특별시 도봉구 덕릉로 350 401동 102호(창동, 주공4단지아파트)","11","11"
