"연번","어린이집명","어린이집유형","주소","정원","현원"
"1679","동화마을어린이집","민간","경기도 안산시 단원구 사세충열로4안길 5-5 1층 동화마을어린이집(와동)","29","27"
"1680","현대프뢰벨어린이집","가정","경기도 남양주시 늘을3로 7 1101동 101호(호평동, 호평마을아이파크11단지아파트)","20","20"
"1681","강남어린이집","민간","대전광역시 중구 계룡로 873-11","82","76"
"1682","엘사랑어린이집","가정","제주특별자치도 서귀포시 중앙로89번길 30-1 제주특별자치도 서귀포시 서귀동 330-18","15","14"
"1683","초롱어린이집","사회복지법인","전라북도 전주시 완산구 평화8길 11 (평화동2가)","124","115"
"1684","다정어린이집","민간","대전광역시 서구 관저북로 87 관리사무소 (관저동, 원앙마을1단지아파트)","28","28"
"1685","재놀스배어린이집","민간","제주특별자치도 제주시 오일장서길 41-3 (도두동)","130","125"
"1686","색동어린이집","민간","경기도 남양주시 화도읍 가곡로88번길 79","191","159"
"1687","구립키움어린이집","국공립","서울특별시 마포구 신촌로12길 11 신촌성결교회내","49","49"
"1688","비전어린이집","민간","경기도 남양주시 오남읍 진건오남로숫돌2길 18","198","151"
"1689","새싹어린이집","가정","경기도 광주시 경충대로1127번길 15 동광모닝스카이아파트 101동 101호","19","15"
"1690","예람어린이집","민간","충청북도 증평군 증평읍 삼보로 24","39","38"
"1691","큰사랑어린이집","가정","경기도 의정부시 동일로416번길 31 101동 104호(장암동, 삼환나우빌)","19","19"
"1692","꼬마둥지어린이집","가정","제주특별자치도 제주시 독짓골8길 61 명주1차아파트 102호 (이도이동)","20","19"
"1693","부산법원어린이집","직장","부산광역시 연제구 법원로 31 (거제동)","98","91"
"1694","씨앗사랑어린이집","민간","경기도 이천시 대월면 대산로41번길 61-28","99","96"
"1695","엄마사랑어린이집","가정","경상북도 구미시 봉곡남로 148 109동 106호(봉곡동, 봉곡현대)","19","5"
"1696","아이제일어린이집","직장","서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동)","45","33"
"1697","송원아이어린이집","민간","경기도 안양시 만안구 박달로472번길 57 (박달동)","27","27"
"1698","삼양제일어린이집","민간","서울특별시 강북구 삼양로27길 35 삼양제일교회 (미아동)","99","98"
"1699","해오름어린이집","민간","광주광역시 남구 효우로60번길 10 송화마을 휴먼시아 3단지 관리동 내 (노대동)","25","25"
"1700","한송이어린이집","민간","경상북도 구미시 백산로 81-5","120","108"
"1701","태양어린이집","가정","경기도 의정부시 장곡로 240 103동 103호(장암동, 동아)","19","19"
"1702","예닮어린이집","민간","경기도 성남시 중원구 박석로72번길 14-1  (상대원동)","37","36"
"1703","아이별어린이집","가정","경기도 안양시 동안구 경수대로 430 108동 103호(호계동, 호계대림E편한세상아파트)","20","20"
"1704","다원어린이집","민간","부산광역시 사하구 윤공단로51번길 32 (다대동)","45","45"
"1705","정다운어린이집","민간","전라남도 광양시 안산길 24 (광영동)","62","29"
"1706","푸른어린이집","민간","경기도 용인시 기흥구 연원로 49 연원마을성원아파트 관리동(보정동)","50","37"
"1707","다솜어린이집","가정","전라남도 장성군 장성읍 제봉로 102 101동 101호 나빌래아파트","20","19"
"1708","양현브레인어린이집","민간","경기도 용인시 기흥구 산양로 17 양현마을 관리동(신갈동)","34","26"
